Date,Open,High,Low,Close,Volume,ADX-8,ADX-32,AROON-down-8,AROON-up-8,AROON-down-32,AROON-up-32,ATR-8,ATR-32,BBANDS-supper-8,BBANDS-middle-8,BBANDS-lower-8,BBANDS-supper-32,BBANDS-middle-32,BBANDS-lower-32,CCI-8,CCI-32,CMO-8,CMO-32,DX-8,DX-32,EMA-8,EMA-32,MACD-8-16-4,MACD-signal-8-16-4,MACD-hist-8-16-4,MACD-32-64-16,MACD-signal-32-64-16,MACD-hist-32-64-16,MIDPOINT-8,MIDPOINT-32,MINUS-DI-8,MINUS-DI-32,MINUS-DM-8,MINUS-DM-32,PLUS-DI-8,PLUS-DI-32,PLUS-DM-8,PLUS-DM-32,ROC-8,ROC-32,RSI-8,RSI-32,TEMA-8,TEMA-32,TRIX-8,TRIX-32,SMA-8,SMA-32,WMA-8,WMA-32
1/4/2010 16:56:00,11.89,12.24,11.87,12.16,3601600,,,,,,,,,,,,,,,,,,,,,12.16,12.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2010 16:56:00,12.23,12.27,11.93,12.1,4246200,,,,,,,,,,,,,,,,,,,,,12.146666666666667,12.156363636363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2010 16:56:00,12.06,12.15,11.93,12.0,3736000,,,,,,,,,,,,,,,,,,,,,12.114074074074074,12.146887052341597,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2010 16:56:00,11.94,12.02,11.85,11.97,2201800,,,,,,,,,,,,,,,,,,,,,12.082057613168724,12.136166624926956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2010 16:56:00,12.03,12.03,11.84,11.95,2390300,,,,,,,,,,,,,,,,,,,,,12.052711476909007,12.124883799173809,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2010 16:56:00,11.97,12.05,11.78,11.96,3255100,,,,,,,,,,,,,,,,,,,,,12.032108926484783,12.114890841648124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2010 16:56:00,11.85,12.07,11.75,12.0,3339600,,,,,,,,,,,,,,,,,,,,,12.024973609488164,12.107927760336118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2010 16:56:00,12.01,12.09,11.86,12.06,3124200,,,,,,,,,12.165000000000292,12.024999999999999,11.884999999999705,,,,7.194244604316144,,,,,,12.032757251824128,12.105023047588475,,,,,,,12.055,,,,0.16999999999999993,,,,0.049999999999998934,,,,,,,,,,12.025,,12.006388888888889,
1/14/2010 16:56:00,12.02,12.09,11.77,11.81,3678200,,,75.0,12.5,,,0.2575000000000003,,12.14232063667883,11.98125,11.820179363321168,,,,-102.40415854450752,,-61.40350877192954,,69.0265486725669,,11.983255640307656,12.087142862886143,,,,,,,11.955,,12.957937584803231,,0.2387499999999998,,2.3744911804612765,,0.04374999999999907,,-2.8782894736842035,,19.29824561403523,,,,,,11.981250000000001,,11.958611111111113,
1/15/2010 16:56:00,11.81,11.86,11.58,11.64,4064200,,,100.0,0.0,,,0.26031250000000017,,12.176522130584116,11.92375,11.670977869415884,,,,-234.51232583065368,,-71.2149532710278,,82.48749106504677,,11.906976609128176,12.060043295438499,,,,,,,11.850000000000001,,21.081750619322825,,0.39890624999999935,,2.023121387283193,,0.038281249999999184,,-3.8016528925619797,,14.3925233644861,,,,,,11.92375,,11.88277777777778,
1/18/2010 16:56:00,11.71,11.83,11.68,11.75,1785900,,,87.5,0.0,,,0.25152343750000006,,12.161154052640223,11.8925,11.623845947359777,,,,-108.90585241730395,,-44.1222746684648,,82.4874910650468,,11.872092918210804,12.041252792684652,,,,,,,11.850000000000001,,18.911511354737627,,0.3490429687499994,,1.8148532244068267,,0.03349609374999929,,-2.083333333333337,,27.9388626657676,,,,,,11.8925,,11.84416666666667,
1/19/2010 16:56:00,11.66,11.97,11.62,11.85,3310700,,,75.0,62.5,,,0.26383300781250024,,12.140511406596696,11.8775,11.614488593403303,,,,-43.337287465401005,,-23.773543281030317,,28.670170638634833,,11.867183380830625,12.02966171434013,,,,,,,11.850000000000001,,15.54297343839687,,0.3054125976562495,,8.616430969402831,,0.16930908203124995,,-1.0025062656641714,,38.11322835948484,,,,,,11.8775,,11.834722222222226,
1/20/2010 16:56:00,11.8,11.83,11.35,11.57,4674900,,,100.0,50.0,,,0.2933538818359377,,12.153728281125053,11.829999999999998,11.506271718874943,,,,-140.57971014492637,,-47.49558379394837,,56.7699293543937,,11.801142629534931,12.001803428622546,,,,,,,11.815000000000001,,24.207055188150303,,0.5372360229492179,,6.675213226257027,,0.1481454467773437,,-3.1799163179916268,,26.252208103025815,,,,,,11.83,,11.766388888888892,
1/21/2010 16:56:00,11.65,11.66,11.14,11.28,4832700,,,100.0,37.5,,,0.3216846466064454,,12.212653718043851,11.744999999999997,11.277346281956143,,,,-167.4624226348365,,-61.629813242303456,,67.98175636235315,,11.685333156304946,11.958057766281787,,,,,,,11.67,,27.624035870359315,,0.6800815200805648,,5.2652926716896875,,0.12962726593017573,,-5.685618729096998,,19.18509337884828,,,,,,11.745000000000001,,11.64416666666667,
1/22/2010 16:56:00,11.2,11.36,11.11,11.28,4299500,,,100.0,25.0,,,0.3127240657806397,,12.166761663277148,11.654999999999998,11.143238336722847,,,,-137.44010951403155,,-61.62981324230344,,69.28243824227678,,11.595259121570512,11.916963356204104,,,,,,,11.67,,25.999361466732296,,0.6250713300704953,,4.717778168889031,,0.11342385768890377,,-6.000000000000005,,19.185093378848276,,,,,,11.655,,11.540833333333337,
1/26/2010 16:56:00,11.07,11.39,11.01,11.34,3788700,66.26311097855674,,100.0,12.5,,,0.32113355755805983,,12.008959457608691,11.564999999999998,11.121040542391304,,,,-100.88353413654696,,-50.66912757306265,,73.39906242813503,,11.53853487233262,11.881995880070523,,,,,,,11.565,,26.04777501084603,,0.646937413811683,,3.9959572286422795,,0.0992458754777908,,-5.97014925373135,,24.665436213468674,,,,,,11.565,,11.470833333333339,
1/27/2010 16:56:00,11.28,11.31,11.02,11.08,4954800,67.15510490975403,,87.5,0.0,,,0.3209918628633024,,11.97514181285723,11.473749999999997,10.972358187142765,,,,-98.85885885885942,,-63.07122627096027,,73.39906242813503,,11.436638234036483,11.83339006915716,,,,,,,11.465,,22.704566233063726,,0.5660702370852226,,3.4830796689706047,,0.08684014104306695,,-6.181202370872141,,18.464386864519874,,,,,,11.473749999999999,,11.36305555555556,
1/28/2010 16:56:00,11.25,11.31,11.01,11.27,3730100,67.99280133281405,,100.0,25.0,,,0.3183678800053897,,11.927274949352544,11.427499999999997,10.92772505064745,,,,-65.61436087898468,,-34.773416384679294,,73.85667629423426,,11.399607515361708,11.79924521648097,,,,,,,11.465,,20.362735544879598,,0.5053114574495696,,3.0620025542403875,,0.07598512341268358,,-3.1786941580756123,,32.613291807660346,,,,,,11.427499999999998,,11.317777777777783,
1/29/2010 16:56:00,11.32,11.43,11.02,11.12,4876100,64.57734951285192,,87.5,12.5,,,0.329821895004716,,11.818051342423217,11.348749999999997,10.879448657576777,,,,-58.55173752669405,,-43.60336690118004,,40.66918677311696,,11.337472511947995,11.758078839724547,-0.24567589360775877,-0.24318314530163487,-0.002492748306123893,,,,11.465,,17.128497084674425,,0.4421475252683734,,7.224380013137618,,0.18648698298609734,,-5.361702127659584,,28.19831654940998,,,,,,11.348749999999999,,11.249444444444448,
2/1/2010 16:56:00,11.24,11.35,11.15,11.31,4977900,61.588829170385054,,75.0,0.0,,,0.31734415812912653,,11.55899763725399,11.281249999999998,11.003502362746007,,,,-6.349206349206642,,-20.0727920980584,,40.66918677311697,,11.331367509292885,11.730922546407909,-0.2209479640783556,-0.23428907281232317,0.013341108733967572,,,,11.325,,15.545511834554485,,0.38687908460982673,,6.55671565557466,,0.16317611011283517,,-4.556962025316446,,39.96360395097081,,,,,,11.28125,,11.240833333333336,
2/2/2010 16:56:00,11.43,11.55,11.36,11.48,4646500,53.968383236795255,,62.5,0.0,,,0.30767613836298574,,11.503880311270946,11.269999999999998,11.03611968872905,,,,176.54662973222173,,-2.8413049672891084,,0.625261701666648,,11.364396951672244,11.715715119352884,-0.1804236212227952,-0.212742892176512,0.03231927095371678,,,,11.280000000000001,,14.002278248867814,,0.3385191990335984,,14.178481748369132,,0.3427790963487318,,-0.7778738115816752,,48.57934751635544,,,,,,11.27,,11.285000000000004,
2/3/2010 16:56:00,11.44,11.6,11.26,11.41,3454400,48.951031102119764,,50.0,0.0,,,0.3117166210676125,,11.538031154974345,11.286249999999997,11.03446884502565,,,,117.76155717761257,,-8.987684576114324,,13.829566159391332,,11.374530962411747,11.697186930301195,-0.15521610171478883,-0.18973217599182274,0.034516074277033904,,,,11.280000000000001,,16.136033968564075,,0.39620429915439825,,12.215183580608313,,0.29993170930514035,,1.152482269503552,,45.50615771194284,,11.372078292758923,,,,11.286249999999999,,11.316111111111114,
2/4/2010 16:56:00,11.37,11.37,10.95,11.07,4915600,48.19378809805311,,100.0,87.5,,,0.33025204343416104,,11.549827534924086,11.259999999999998,10.97017246507591,,,,-87.92792792792737,,-32.641569900649145,,42.893087069586564,,11.306857415209137,11.659175601192032,-0.16941444187688148,-0.18160508234584624,0.012190640468964759,,,,11.275,,25.174808900021144,,0.656678761760099,,10.06105788163979,,0.2624402456419978,,-1.8617021276595702,,33.67921504967543,,11.225704794604889,,-0.37507113792547564,,11.260000000000002,,11.268055555555557,
2/5/2010 16:56:00,10.93,11.13,10.44,10.66,6715900,50.30131536964379,,100.0,75.0,,,0.3752205380048911,,11.65655996511361,11.174999999999997,10.693440034886384,,,,-208.47784200385354,,-50.40530939548913,,65.05400627077856,,11.163111322940441,11.598619504150092,-0.21760508206977214,-0.1960050822354166,-0.021599999834355538,,,,11.07,,36.48862890411929,,1.0845939165400864,,7.72554041965713,,0.22963521493674807,,-5.996472663139329,,24.797345302255437,,10.921467365161286,,-0.4039321107957794,,11.175,,11.134722222222223,
2/8/2010 16:56:00,10.72,10.85,10.57,10.65,5218600,52.14540173228563,,87.5,62.5,,,0.36331797075427963,,11.715929535548494,11.121249999999998,10.526570464451503,,,,-140.37834311806958,,-50.767222961561956,,65.05400627077854,,11.049086584509233,11.541127412989482,-0.2460338199258132,-0.21601657731157525,-0.030017242614237938,,,,11.065000000000001,,32.94218746366272,,0.9490196769725756,,6.974671518384132,,0.20093081306965457,,-3.8808664259927794,,24.616388519219026,,10.738534155409313,,-0.45104103526831807,,11.12125,,11.018055555555556,
2/9/2010 16:56:00,10.79,11.21,10.79,11.01,5605900,48.3224424051991,,75.0,50.0,,,0.38790322440999475,,11.675728491939926,11.08875,10.501771508060072,,,,-32.62802821220493,,-15.95365300294985,,21.561727115593413,,11.040400676840516,11.508937872808303,-0.2214644225086957,-0.21819571539042343,-0.0032687071182722627,,,,11.065000000000001,,26.954168917307758,,0.8303922173510037,,17.392303540552202,,0.535814461435949,,-2.3070097604259043,,42.023173498525075,,10.829440354996349,,-0.4620685960748494,,11.08875,,10.993333333333332,
2/10/2010 16:56:00,11.07,11.16,10.97,11.15,2669000,44.97735299399839,,62.5,37.5,,,0.36316532135874535,,11.680611384008243,11.0925,10.504388615991756,,,,-2.656546489563307,,-5.161324546401225,,21.561727115593428,,11.064756081987069,11.487184062335073,-0.1841726289215586,-0.2045864808028775,0.02041385188131889,,,,11.065000000000001,,25.179431354695097,,0.7265931901821282,,16.24714582901322,,0.46883765375645536,,0.26978417266187993,,47.41933772679939,,10.968642884077626,,-0.43621335149823803,,11.092500000000001,,11.006944444444443,
